Name,personId,222_best,222_worldRank,333_best,333_worldRank,333bf_best,333bf_worldRank,333fm_best,333fm_worldRank,333ft_best,333ft_worldRank,333mbf_best,333mbf_worldRank,333oh_best,333oh_worldRank,444_best,444_worldRank,444bf_best,444bf_worldRank,555_best,555_worldRank,555bf_best,555bf_worldRank,666_best,666_worldRank,777_best,777_worldRank,clock_best,clock_worldRank,magic_best,magic_worldRank,minx_best,minx_worldRank,mmagic_best,mmagic_worldRank,pyram_best,pyram_worldRank,skewb_best,skewb_worldRank,sq1_best,sq1_worldRank
Jerry Yao,2019YAOJ01,0.9,453.0,4.0,23,121.1,3345.0,0.4,4174.0,,,,,8.0,84.0,22.5,102.0,,,40.8,42.0,,,89.4,168.0,138.2,171.0,10.6,6576.0,,,57.0,2151.0,,,3.3,4736.0,4.5,8386.0,8.0,575.0
Kavin Prince,2023PRIN02,1.4,2127.0,4.8,172,,,,,,,,,14.9,4527.0,47.8,14837.0,,,,,,,,,,,,,,,,,,,5.5,17570.0,2.9,2435.0,,
Evan Liu,2009LIUE01,0.6,76.0,4.9,181,35.5,507.0,0.2,457.0,37.8,164.0,8803091.0,481.0,9.3,309.0,25.2,387.0,181.4,135.0,47.4,251.0,484.1,126.0,86.2,123.0,138.2,169.0,2.7,51.0,1.4,1339.0,46.1,843.0,2.3,94.0,1.5,319.0,1.7,332.0,9.4,992.0
Christopher Chi,2014CHIC01,0.8,219.0,5.0,206,33.0,445.0,0.2,62.0,48.9,351.0,8603059.0,362.0,11.4,1182.0,26.5,617.0,294.6,349.0,53.2,700.0,753.0,271.0,101.6,473.0,179.8,982.0,3.6,304.0,,,45.0,747.0,,,2.2,1418.0,1.2,58.0,5.0,46.0
Ayden Dincher,2022DINC01,0.9,434.0,5.0,206,136.4,3865.0,0.4,3389.0,,,,,10.1,537.0,23.8,223.0,,,47.8,273.0,,,93.0,239.0,173.6,807.0,3.3,184.0,,,47.1,953.0,,,1.4,199.0,1.1,28.0,5.9,117.0
Kymberlyn Calderon,2015CALD02,0.9,542.0,5.2,288,126.4,3540.0,0.3,942.0,37.3,160.0,,,10.6,749.0,26.7,669.0,,,51.2,524.0,,,110.3,795.0,180.9,1010.0,5.9,1546.0,,,40.6,421.0,,,2.3,1707.0,1.9,534.0,8.3,657.0
Parker Trager,2016TRAG01,0.6,76.0,5.3,338,68.3,1458.0,0.3,942.0,27.5,52.0,9202680.0,902.0,6.4,10.0,25.1,374.0,619.0,1042.0,49.9,419.0,,,108.1,693.0,170.5,728.0,3.9,426.0,,,40.1,383.0,,,0.9,9.0,1.4,116.0,5.9,127.0
Curtis Chai,2022CHAI02,0.7,146.0,5.4,400,,,0.4,3389.0,,,,,10.7,810.0,26.1,534.0,,,54.6,841.0,,,113.8,965.0,171.3,750.0,3.7,326.0,,,41.3,454.0,,,1.3,180.0,1.6,285.0,5.8,115.0
Anthony Jiang,2021JIAN07,2.0,7154.0,6.6,1784,,,0.6,9672.0,,,,,9.9,486.0,36.5,5084.0,,,85.2,7394.0,,,,,,,14.7,10943.0,,,96.2,8902.0,,,5.9,20446.0,4.8,9711.0,,
Alex Maass,2011MAAS01,1.2,1257.0,6.8,2205,,,0.2,248.0,110.2,1430.0,,,16.8,7103.0,44.4,11587.0,,,74.5,4489.0,,,159.9,3981.0,275.7,4688.0,8.6,4090.0,1.8,2675.0,66.9,3640.0,,,1.5,339.0,2.2,1027.0,9.9,1163.0
Kunaal Parekh,2013PARE01,2.3,10720.0,6.9,2564,87.8,2139.0,0.4,3787.0,110.9,1444.0,,,10.6,754.0,44.9,12101.0,,,106.7,13473.0,,,179.0,5397.0,,,21.4,16168.0,,,195.4,22686.0,,,9.0,49217.0,20.2,56128.0,10.2,1301.0
Elvin Xu,2019XUEL02,1.7,4087.0,7.2,3311,63.8,1332.0,0.4,3389.0,,,9601200.0,1826.0,17.1,7525.0,29.6,1484.0,298.8,355.0,60.7,1614.0,,,112.0,889.0,161.3,514.0,9.0,4577.0,,,60.0,2555.0,,,6.2,22760.0,3.4,4168.0,47.1,15610.0
Jay Pharma,2022PHAR01,0.9,542.0,7.3,3409,,,,,,,,,16.8,7181.0,35.0,4051.0,,,,,,,,,,,6.0,1645.0,,,,,,,1.4,226.0,2.8,2116.0,12.2,2069.0
Steven Wintringham,2015WINT02,1.1,877.0,7.6,4372,551.9,10194.0,0.3,768.0,84.7,989.0,,,18.1,9117.0,38.8,6791.0,,,89.0,8448.0,,,184.9,5834.0,297.4,5478.0,5.1,978.0,,,83.8,6604.0,,,1.2,69.0,2.4,1250.0,16.2,3894.0
Shota Fukuoka,2024FUKU04,1.6,3327.0,7.7,4855,,,,,,,,,20.7,13724.0,93.2,47219.0,,,,,,,,,,,21.1,15964.0,,,186.9,21881.0,,,3.2,4210.0,4.7,9432.0,29.4,10156.0
Nina Ozsvath,2022OZSV03,1.1,1152.0,7.8,4970,,,0.6,10172.0,,,,,14.8,4451.0,33.5,3170.0,,,62.7,1934.0,,,108.0,688.0,191.9,1357.0,6.1,1703.0,,,85.0,6819.0,,,2.6,2543.0,3.8,5467.0,13.1,2469.0
Eli Rogers,2022ROGE05,0.8,250.0,7.8,5133,114.7,3126.0,0.3,768.0,,,9701142.0,2639.0,16.8,7066.0,37.9,6100.0,1299.0,1654.0,81.0,6164.0,,,176.5,5211.0,286.6,5091.0,4.5,670.0,,,78.5,5615.0,,,2.1,1242.0,2.9,2497.0,12.6,2258.0
